content_id,phase_id,id,name,description
m7s,p1,sari-shiki,さり式 (Game8 採用版),"さり氏 (Asche Okumura, note.com/srm_br) が考案、Game8 採用流派。
- いしあ式よりも後出しGCDを多く回せる処理法 (火力寄り)。
- 移動がシビアで P3 ストーンウェポンでスプリント必須。
- ソーンデスマッチ・ビルディング (奇数 3回目安置 / 13捨て位置 など) の位置を固定。
- ペア頭割り: MTD1=①, STD2=②, H1D3=③, H2D4=⑤。
"
m7s,p1,ponikone-shiki,ぽにこね式 (代替流派),"Game8 が代替として掲載しているもうひとつの処理法。
ソーンデスマッチ・ビルディングを別アプローチで処理する。詳細は Game8 ページ参照。
# Source: https://game8.jp/ff14/681274
"
m8s,p1,nukemaru-idyll-mod,ぬけまる様マクロ (Game8 採用 / イディル土修正 / 風化IQ6000),"ぬけまる様 + イディルシャイア居住区様の土修正版を融合した流派。
- 土の魔技: MTD4 / D3 / H1 / D1ST / H2 / D2 の配置。
- 風の魔技 / 千年の風化 (IQ6000式):
  MT/D3 H2/D4 / H1/D1 ST/D2、塔ズレ時計、回転中に前=近接 / 南北=遠隔 / 後=無職。
- 群狼剣 (薙/廻): 北 MT/ST → 中央 H1組/H2組 へ移行。
- 大地の怒り:
  ① 風化散開 → 安置時計回り、頭割り中央。
  ② 風化散開 → ズレ時計回り、頭割り北。
- 幻狼招来: MT/D3 (頭割り) / H2/D4 / H1/D1 ST/D2。
"
m8s,p2,nukemaru-maxin-alice,ぬけまる様マクロ (Game8 採用 / 魔印正規 / 狐狼Alice / 81128),"Game8 採用流派。
- 風震の魔印: 正規処理 (頭割りは風撃タンク隣島)。
- 双牙撃: 西島=MT / 東島=ST。
- 孤狼の呪い: Alice式 (T/H/D の位置とライン誘導を分岐固定)。
  * Tニア: 北東 / Tファー: 西 / H: 不動
  * Dニア: 線が北伸び→北東 / 南伸び→南
  * Dファー: 線が北伸び→不動 / 南伸び→北東
- 八連光弾: 2=MT無敵 / 3=ST無敵 / 4=T二人フルバフ。
"
m10s,p1-fire,inumaru-suirou-hira-ac,基本犬丸水牢ヒラ/炎AC (Game8 採用版),"犬丸様の攻略をベースに、家無しララ様の野良準拠解法を融合した処理法。
- 水牢: ヒーラー入り
- 炎: AC (近接) 担当
- 詳細はマクロ参照
"
m11s,p1,nukemaru-game8,ぬけまる様式 (Game8 採用版),"Game8 採用流派。
- 基本: ルクレ (基本散開)
- ドミネーション: 安置を北基準に処理
- オービタル: 北固定
- メテオレイン: H 遠近 (H1: 南西遠、H2: 北東タゲサ上 など、3回ローテーション)
- チャンピオンズ・メテオ: ジジ式位置固定
- メテオスタンピード: DXA 式
"
m12s,p1,nukemaru-idyll-style,ぬけまる様式 (ほぼイディル式) - Game8 採用版,"ぬけまる様 + イディル様の解説をベースにした処理法。
- リーサルスカージ: D側 MT組 / B側 ST組
- 細胞付着 前期: 左前タゲサ端で散開、頭割り角扇外周
- 細胞付着 中期: 線取り 1234 / 塔踏み 3412
- 細胞付着 後期: X字/十字判断で散開位置変更
  X字: DPS右上 TH左下
  十字 東西: DPS右上 TH左下 / 南北: DPS左上 TH右下
- タン強: 無敵前捨て D側MT/B側ST
"
m12s,p2,nukemaru-wanace-game8,Game8 採用版 (レプリ位置固定 / 模倣牛子式 / ドリームワンエース式),"Game8 が採用しているハイブリッド流派。
- レプリケーション: 位置固定式
- 模倣細胞: 牛子式
- アルカディアンドリーム: ワンエース式
- マクロは Game8 では直接掲載されておらず、ぬけまる動画リンク先からコピーする必要あり。
"
m12s,p2,nukemaru-improved-srodin,ぬけまる改良版 (Sr Odin 改) - レプリ近接内+レプリ固定法,"Sr Odin 氏が公開した「ヘビー級零式4層後半 アルカディアンドリーム用 ぬけまる改良版」。
ぬけまる動画 (修正版) で追加された
- レプリ近接内 + レプリ固定法
- アルカディアンドリーム理屈説明
- マナバ図修正
を反映した /e (emote) コール用マクロ。
確認したい場合は Lodestone を参照。
# Source: https://na.finalfantasyxiv.com/lodestone/character/39631700/blog/5649775/
"
m9s,p1,nukemaru-game8,ぬけまる式 (Game8 採用版),"Game8 が公式採用しているぬけまる氏解説に準拠した処理法。
- ヴァンプストンプ: 近接 (D1/D2) はコウモリ1の背後に寄り、TH+遠は前散開。
- エーテルレッティング: 最外周扇範囲を捨てて中央集合。
- 茨塔 (ラディスティック・スクリーチ): 北から時計回り、優先順 T>近>遠>H。
- ヘル・イン・ア・セル: 4セット連続塔踏み。
- バット・デスマッチ: MT組 北西 / ST組 南東。
"
m1s,p1,inumaru-game8,犬丸式 (Game8 採用版),"Game8 が公式採用している犬丸氏解説に準拠した処理法。
- クアドラプルネイル: 十字固定 (先 TH / 後 DPS)
- レイニングキャッツ: タンク無敵で 2 連処理
- 4:4 頭割り: 北/西 MTH1D1D3 / 南/東 STH2D2D4
- フィールドマーカー: ABCD で東西南北、1234 で分身移動先を指定
"
m2s,p1,nukemaru-game8,ぬけまる版 (Game8 採用版),"Game8 が公式採用しているぬけまる氏解説に準拠した処理法。
- 基本散開: D3 MT D4 / H1 ☆ H2 / D1 ST D2
- 1st ライヴ: 近接 ♡2 / 遠隔 ♡3
- 2nd ライヴ ♡0: 中央→北→TH 西、DPS 東で頭割り
- 2nd ライヴ ♡1: 南待機 → AOE 対象者は捨てる、塔は TH 北/西 DPS 南/東
- 毒捨て: TH 北西 / DPS 南東
- ブラックハート: 8 方向散開 → HP 戻り次第早いペア順に中央集合
"
m3s,p1,nukemaru-game8,ぬけまる版 Ver.2.0 (Game8 採用版),"Game8 が公式採用しているぬけまる氏解説の改訂版 (Ver.2.0)。
- 基本散開: D3 MT D4 / H1 ★ H2 / D1 ST D2
- 4ウェイ: MT/D3 北西 + H2/D4 北東 + H1/D1 南西 + ST/D2 南東
- 8ショック: MT ★ ST 上、D1 D2 中段、D3 H1 H2 D4 下段
- 4ショック: 内側 MT/D1 + D2/ST、外側 D3/H1 + H2/D4
- ボンバリアンボム: 1 塔目 北西:近接 + 南東:遠隔、2 塔目 ボスを見て左:MT 組 + 右:ST 組
- 零式フューズボム: 単体の長ボムを北に見る、1 回目短/2 回目長 で配置切替
- フューズフィールド: A から時計回り、短→長で MT→ST→H1→H2 / D1→D2→D3→D4
- ボンバリアンスペシャル: 8 ショック → 基本散開、4 ショック → ペア X 受け
"
m4s,p1,nukemaru-dn-game8,"ぬけまる版 + DN 式 (Game8 採用版, Ver.2.1)","Game8 が公式採用しているぬけまる氏動画 (最終改定版) + DN 式円輪/輪円処理法。
- 縦散開: D3 D4 / MT ST / D1 D2 / H1 H2
- 円輪・輪円 (DN 式): D3 MT D4 / D1 ☆ D2 / H1 ST H2
- エレクトロープ 1 回目: MT D2 D4 / D1 ST H2 / D3 H1 角
- エレクトロープ 2 回目: 基本散開 + 多/少振り分け
  * 22 秒: 3 回 or 2 回
  * 42 秒: 2 回 or 1 回
  * TH 多: B,D / DPS 多: 中央
  * TH 少: A / DPS 少: C
- ストリーム: 紫/誘電/青/青/誘電/紫 の 6 ライン、TH 外側 / DPS 内側
- エレクトロープ移植: 時計→反時計で往復
- 8 月 8 日に散開位置をアップデート (Game8 表記)
"
m4s,p2,nukemaru-game8,ぬけまる版 (Game8 採用版),"Game8 が公式採用しているぬけまる氏解説に準拠した処理法。
- クロステイル・スペシャル: タンク LB3 で凌ぐ
- ウィケッドブレイズ: 西 MT 組 / 東 ST 組
- マスタードボム: デバフ受取優先順位 MT←D1D3H1 / H2D4D2→ST
- ブラックサバト【夜半】: MT/D2 上 / D1/ST 上 / H1/D4 下 / D3/H2 下
- ブラックサバト【日出】:
  * 塔: TH 南/西、DPS 北/東
  * 誘導: TH 11 時から反時計、DPS 12 時から時計
- 剣の雨: MT/ST、D1/D2、H1/H2、D3/D4 の 4 ペア
- 剣の舞: MT/D1、ST/D2、H1/D3、H2/D4 のペアで 2:2:2:2 配置
"
fru,p1,priority-htd-std4,優先HTD/STD4入替/塔キャス固定 (リリド式),野良主流。STとD4が入替、塔をキャスター固定で処理する流派。
fru,p2,idyll-basic,基本イディル (リリド式),"りりーどーるの「基本イディル」処理法。
DD（ダイアモンドダスト）は基本散開から時計回り調整、
扇誘導は D3 MT D4 ライン上に1,3枚目（スプリント）。
"
fru,p3,atobe-kingdom-kai,跡部王国改 (時間圧縮・絶),"ポネコニさんが派生させた跡部王国改版。
P3野良主流の時間圧縮処理。X投稿 (PoneKoni) に詳細図あり。
"
fru,p3,anchi-kijun,アポカリ：最初の安置基準,"TH 赤紫マーカー / DPS 黄青マーカーで、最初の安置を基準にアポカリ処理。
固定での採用が主流。遠隔組の移動距離が少ない。
"
fru,p3,apoka-kijun,アポカリ：アポカリ基準,"アポカリの出現位置を見て安置を決定する流派。
ぬけまる動画 (P3-2) で詳細解説。
"
fru,p4,nukemaru-style,ぬけまる式 (扇前調整/アクモーン1:7/赤爆走アムレンY字),"P4-P5 野良主流。
- 扇前調整: ウォタガ扇前調整
- アクモーン: 1:7（1人と7人の分割）
- 赤爆走: アムレンY字配置
- attack me マクロ使用
"
fru,p5,nukemaru-style-p5,ぬけまる式 (アクモーン ボス基準/MT組左/ST組右),"P5 野良主流。光塵の剣、アクモーン、パラダイスリゲインド、星霊の剣をぬけまる解説動画準拠で処理。
"
